PageID,Title,Namespace,URL,LastEditor,LastEdited,ByteSize,WordCount,Categories,TemplateCount,ImageCount,InternalLinkCount,HasGallery,GalleryImageCount,HasInfobox,HasEventDetails,HasTable,ExternalLinks,Headings,Complexity
383659,"""13 மே - 2 ஜூன், 2017""",0,"https://nithyanandapedia.org/wiki/%2213_%E0%AE%AE%E0%AF%87_-_2_%E0%AE%9C%E0%AF%82%E0%AE%A9%E0%AF%8D,_2017%22",Ma.Akshaya,2020-12-21T10:55:25Z,8205,348,2017 | Tamil | தமிழ் | வளப்படுத்தும் பிரசுரம்,0,0,0,no,0,no,no,no,0,==<big>வளப்படுத்தும் பிரசுரம்</big> | ==13 மே - 2 ஜூன் 2017,simple
3555,"""Article: Play your game on the edge",0,https://nithyanandapedia.org/wiki/%22Article:_Play_your_game_on_the_edge,Corina.barbu,2019-04-05T15:52:00Z,50,8,,0,0,1,no,0,no,no,no,0,,simple
4317,"""Benefits of Dharana on the Light """,0,https://nithyanandapedia.org/wiki/%22Benefits_of_Dharana_on_the_Light_%22,Ma.sadashivapriya,2019-06-15T17:51:39Z,1280,128,,0,0,0,no,0,no,no,no,0,==PRAMANA | ==Transliteration,simple
4311,"""Dharana on (Shiva’s) Third Eye """,0,https://nithyanandapedia.org/wiki/%22Dharana_on_(Shiva%E2%80%99s)_Third_Eye_%22,Admin1,2019-09-27T03:37:04Z,1200,117,,0,0,1,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4310,"""Dharana on Kurma Nadi """,0,https://nithyanandapedia.org/wiki/%22Dharana_on_Kurma_Nadi_%22,Ma.sadashivapriya,2019-06-15T17:25:15Z,784,79,,0,0,0,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4476,"""Dharana on Sunya during Action and Inaction """,0,https://nithyanandapedia.org/wiki/%22Dharana_on_Sunya_during_Action_and_Inaction_%22,Admin1,2019-06-17T05:19:35Z,58,8,,0,0,1,no,0,no,no,no,0,,simple
4309,"""Dharana on the Cavity of the Throat """,0,https://nithyanandapedia.org/wiki/%22Dharana_on_the_Cavity_of_the_Throat_%22,Ma.sadashivapriya,2019-06-16T02:28:51Z,770,83,,0,0,0,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4316,"""Dharana on the Light """,0,https://nithyanandapedia.org/wiki/%22Dharana_on_the_Light_%22,Ma.sadashivapriya,2019-06-16T18:54:50Z,2037,204,Dharana,0,0,0,no,0,no,no,no,0,==Transliteration | ==Benefits | ==Transliteration,simple
4315,"""Dharana on the Tip of Nose after Conquering All Elements """,0,https://nithyanandapedia.org/wiki/%22Dharana_on_the_Tip_of_Nose_after_Conquering_All_Elements_%22,Ma.sadashivapriya,2019-06-15T17:46:10Z,940,99,,0,0,0,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4305,"""Even One of 112 Dharanas Brings Much Powers """,0,https://nithyanandapedia.org/wiki/%22Even_One_of_112_Dharanas_Brings_Much_Powers_%22,Ma.sadashivapriya,2019-06-16T02:26:18Z,754,78,,0,0,0,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4306,"""Five-Fold Dharana Leads Yogi to Command Over Five Elements, Removal of Fear of Injuries (from Elements) """,0,"https://nithyanandapedia.org/wiki/%22Five-Fold_Dharana_Leads_Yogi_to_Command_Over_Five_Elements,_Removal_of_Fear_of_Injuries_(from_Elements)_%22",Admin1,2019-09-27T03:38:48Z,851,97,,0,0,1,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4297,"""Four Kinds of Dharanas Explained by Sadashiva """,0,https://nithyanandapedia.org/wiki/%22Four_Kinds_of_Dharanas_Explained_by_Sadashiva_%22,Admin1,2019-09-27T03:39:02Z,728,65,,0,0,2,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
2567,"""Illiterate in Tamil But Able to Read Blindfolded Sathkriya ""-Varanasi Inner Awakening Sharing",0,https://nithyanandapedia.org/wiki/%22Illiterate_in_Tamil_But_Able_to_Read_Blindfolded_Sathkriya_%22-Varanasi_Inner_Awakening_Sharing,Corina.barbu,2019-03-15T06:33:59Z,332,33,Press Meets,0,0,0,no,0,no,no,no,0,==Description | ==Link to Video:,simple
4307,"""Practice of Dharana - Yogi Overcomes Effects of Elements in Him """,0,https://nithyanandapedia.org/wiki/%22Practice_of_Dharana_-_Yogi_Overcomes_Effects_of_Elements_in_Him_%22,Ma.sadashivapriya,2019-06-15T17:14:54Z,1371,156,,0,0,0,no,0,no,no,no,0,==PRAMANA | ==Transliteration | ==Translation,simple
4351,"""Pratikopasana- Technique """,0,,,,,0,,0,0,0,no,0,no,no,no,0,,simple
4356,"""Pratikopasana: Best Times to Practice """,0,,,,,0,,0,0,0,no,0,no,no,no,0,,simple
4358,"""Pratikopasana Leading Yogi to Liberation """,0,,,,,0,,0,0,0,no,0,no,no,no,0,,simple
4355,"""Pratikopasana Practice Leads to Happiness """,0,,,,,0,,0,0,0,no,0,no,no,no,0,,simple
4304,"""State of Bhairava is Established in Dharanas """,0,,,,,0,,0,0,0,no,0,no,no,no,0,,simple
17156,(Dhrida,0,,,,,0,,0,0,0,no,0,no,no,no,0,,simple
